"x.pos","y.pos","depth"
416765.187929616,5824666.78836559,19.3493841406914
418081.753292603,5824666.78836559,17.3342309023838
419398.318655591,5824666.78836559,11.6244296743675
420714.884018578,5824666.78836559,23.3179506401245
422031.449381566,5824666.78836559,37.4336254084603
423348.014744554,5824666.78836559,50
424664.580107541,5824666.78836559,50
425981.145470529,5824666.78836559,49.8370524250322
427297.710833516,5824666.78836559,44.9046396641712
428614.276196504,5824666.78836559,47.0697063373415
429930.841559491,5824666.78836559,50.1912518482462
431247.406922479,5824666.78836559,50
416765.187929616,5826339.09234938,17.8105195821772
418081.753292603,5826339.09234938,14.07895466056
419398.318655591,5826339.09234938,9.9964748061017
420714.884018578,5826339.09234938,21.8022276678792
422031.449381566,5826339.09234938,41.0522233444523
423348.014744554,5826339.09234938,50
424664.580107541,5826339.09234938,50
425981.145470529,5826339.09234938,49.5556409676236
427297.710833516,5826339.09234938,41.7673080386739
428614.276196504,5826339.09234938,46.5150137059561
429930.841559491,5826339.09234938,49.8469718513329
431247.406922479,5826339.09234938,49.9999998315729
416765.187929616,5828011.39633318,14.9296920427416
418081.753292603,5828011.39633318,12.9232069316986
419398.318655591,5828011.39633318,9.57659115307503
420714.884018578,5828011.39633318,19.4544281180792
422031.449381566,5828011.39633318,27.4531717778132
423348.014744554,5828011.39633318,46.1706043213265
424664.580107541,5828011.39633318,55.3337029442394
425981.145470529,5828011.39633318,50
427297.710833516,5828011.39633318,50
428614.276196504,5828011.39633318,49.9642694429649
429930.841559491,5828011.39633318,49.7955736600769
431247.406922479,5828011.39633318,34.0214606446506
416765.187929616,5829683.70031697,15.7604667515127
418081.753292603,5829683.70031697,11.0604780077517
419398.318655591,5829683.70031697,11.6229986140376
420714.884018578,5829683.70031697,26.247366888103
422031.449381566,5829683.70031697,20.2872607935401
423348.014744554,5829683.70031697,35.4698007770704
424664.580107541,5829683.70031697,51.5891674552388
425981.145470529,5829683.70031697,50.0012842322286
427297.710833516,5829683.70031697,50
428614.276196504,5829683.70031697,50.0625434796338
429930.841559491,5829683.70031697,47.0037089921582
431247.406922479,5829683.70031697,24.7155081966124
416765.187929616,5831356.00430077,17.3423369210139
418081.753292603,5831356.00430077,14.7746922167505
419398.318655591,5831356.00430077,16.613297114641
420714.884018578,5831356.00430077,42.3266007990074
422031.449381566,5831356.00430077,46.8200322281185
423348.014744554,5831356.00430077,33.639554096036
424664.580107541,5831356.00430077,36.6021171728364
425981.145470529,5831356.00430077,50.0002975060655
427297.710833516,5831356.00430077,50
428614.276196504,5831356.00430077,50.0253057612661
429930.841559491,5831356.00430077,49.2299795582646
431247.406922479,5831356.00430077,28.6038328394893
416765.187929616,5833028.30828456,13.2817539871926
418081.753292603,5833028.30828456,13.786833825815
419398.318655591,5833028.30828456,17.0941529251476
420714.884018578,5833028.30828456,32.7714048840226
422031.449381566,5833028.30828456,49.700629782727
423348.014744554,5833028.30828456,30.6189386509129
424664.580107541,5833028.30828456,28.6974687888289
425981.145470529,5833028.30828456,50.0016881300504
427297.710833516,5833028.30828456,50.0006137218422
428614.276196504,5833028.30828456,50.0019182704339
429930.841559491,5833028.30828456,48.2124591400838
431247.406922479,5833028.30828456,44.1518994841803
416765.187929616,5834700.61226836,16.784943325437
418081.753292603,5834700.61226836,14.8994542117949
419398.318655591,5834700.61226836,17.5552291757055
420714.884018578,5834700.61226836,34.2932630451463
422031.449381566,5834700.61226836,48.5373862276284
423348.014744554,5834700.61226836,26.4928571529891
424664.580107541,5834700.61226836,28.0678948457621
425981.145470529,5834700.61226836,50.0000338152011
427297.710833516,5834700.61226836,50.0007168538997
428614.276196504,5834700.61226836,50
429930.841559491,5834700.61226836,50
431247.406922479,5834700.61226836,49.8912850756718
416765.187929616,5836372.91625215,15.2479632270032
418081.753292603,5836372.91625215,15.5447391994348
419398.318655591,5836372.91625215,36.7251390916818
420714.884018578,5836372.91625215,46.3792329356448
422031.449381566,5836372.91625215,40.8868957469117
423348.014744554,5836372.91625215,27.5682215451981
424664.580107541,5836372.91625215,29.0990190764525
425981.145470529,5836372.91625215,50.0033628955602
427297.710833516,5836372.91625215,50.0001529857798
428614.276196504,5836372.91625215,50.0774649533451
429930.841559491,5836372.91625215,50.0482881267912
431247.406922479,5836372.91625215,44.8778561061319
415448.622566628,5838045.22023595,10.505795688392
416765.187929616,5838045.22023595,11.1165068328638
418081.753292603,5838045.22023595,25.3756146821776
419398.318655591,5838045.22023595,40.3974844757771
420714.884018578,5838045.22023595,48.8903883205339
422031.449381566,5838045.22023595,43.0879965337734
423348.014744554,5838045.22023595,36.9210790725954
424664.580107541,5838045.22023595,43.6822609168231
425981.145470529,5838045.22023595,49.9892620843454
427297.710833516,5838045.22023595,50.0000900337912
428614.276196504,5838045.22023595,49.9375712177385
429930.841559491,5838045.22023595,47.2669270396491
431247.406922479,5838045.22023595,38.327839515333
415448.622566628,5839717.52421974,17.2421875378355
416765.187929616,5839717.52421974,28.8612344538439
418081.753292603,5839717.52421974,40.9836001064196
419398.318655591,5839717.52421974,46.9643396598184
420714.884018578,5839717.52421974,47.8882920334248
422031.449381566,5839717.52421974,26.762298545005
423348.014744554,5839717.52421974,23.2580636559525
424664.580107541,5839717.52421974,27.704872742236
425981.145470529,5839717.52421974,49.4051840230139
427297.710833516,5839717.52421974,50
